id,parent_id,name,created_at,updated_at
"161300","160000",保龄球馆,2016/10/1,2016/10/1
"161400","160000",射箭,2016/10/1,2016/10/1
"161500","160000",马术,2016/10/1,2016/10/1
"161600","160000",滑雪,2016/10/1,2016/10/1
"161700","160000",其他,2016/10/1,2016/10/1
"170000","100000",按摩养生,2016/10/1,2016/10/1
"170100","170000",按摩推拿,2016/10/1,2016/10/1
"170200","170000",足疗/足浴,2016/10/1,2016/10/1
"170300","170000",中医调理,2016/10/1,2016/10/1
"170400","170000",针灸,2016/10/1,2016/10/1
"170500","170000",拔火罐,2016/10/1,2016/10/1
"170600","170000",其他,2016/10/1,2016/10/1
"180000","100000",医疗健康,2016/10/1,2016/10/1
"180100","180000",药店,2016/10/1,2016/10/1
"180200","180000",齿科,2016/10/1,2016/10/1
"180300","180000",公立,2016/10/1,2016/10/1
"180400","180000",私立/民营/诊所,2016/10/1,2016/10/1
"180500","180000",疗养院/康复中心,2016/10/1,2016/10/1
"180600","180000",医疗/保健器械,2016/10/1,2016/10/1
"180700","180000",其他,2016/10/1,2016/10/1
"190000","100000",美容,2016/10/1,2016/10/1
"190100","190000",美容/美甲/美发/美瞳,2016/10/1,2016/10/1
"190200","190000",医学美容,2016/10/1,2016/10/1
"190300","190000",纹身/纹绣,2016/10/1,2016/10/1
"190400","190000",彩妆/造型,2016/10/1,2016/10/1
"190500","190000",美容SPA,2016/10/1,2016/10/1
"190600","190000",塑性,2016/10/1,2016/10/1
"190700","190000",祛痘,2016/10/1,2016/10/1
"190800","190000",其他,2016/10/1,2016/10/1
"200000","100000",母婴亲子,2016/10/1,2016/10/1
"200100","200000",亲子游乐,2016/10/1,2016/10/1
"200200","200000",母婴用品,2016/10/1,2016/10/1
"200300","200000",亲子运动,2016/10/1,2016/10/1
"200400","200000",早教中心,2016/10/1,2016/10/1
"200500","200000",孕产助理,2016/10/1,2016/10/1
"200600","200000",产后恢复,2016/10/1,2016/10/1
"200700","200000",托班,2016/10/1,2016/10/1
"200800","200000",其他,2016/10/1,2016/10/1
"210000","100000",旅游,2016/10/1,2016/10/1
"210100","210000",酒店,2016/10/1,2016/10/1
"210101","210100",经济型,2016/10/1,2016/10/1
"210102","210100",五星级,2016/10/1,2016/10/1
"210103","210100",四星级,2016/10/1,2016/10/1
"210104","210100",三星级,2016/10/1,2016/10/1
"210105","210100",公寓,2016/10/1,2016/10/1
"210106","210100",客栈旅舍,2016/10/1,2016/10/1
"210107","210100",主题酒店,2016/10/1,2016/10/1
"210108","210100",快捷酒店,2016/10/1,2016/10/1
"210109","210100",商务酒店,2016/10/1,2016/10/1
"210110","210100",其他,2016/10/1,2016/10/1
"210200","210000",旅游社,2016/10/1,2016/10/1
"210300","210000",景点名胜,2016/10/1,2016/10/1
"210400","210000",交通票务,2016/10/1,2016/10/1
"210500","210000",其他,2016/10/1,2016/10/1
"220000","100000",摄影,2016/10/1,2016/10/1
"220100","220000",婚纱摄影,2016/10/1,2016/10/1
"220200","220000",儿童摄影,2016/10/1,2016/10/1
"220300","220000",孕妇摄影,2016/10/1,2016/10/1
"220400","220000",艺术写真,2016/10/1,2016/10/1
"220500","220000",宠物摄影,2016/10/1,2016/10/1
"220600","220000",跟拍,2016/10/1,2016/10/1
"220700","220000",商业摄影,2016/10/1,2016/10/1
"220800","220000",照相,2016/10/1,2016/10/1
"220900","220000",其他,2016/10/1,2016/10/1
"230000","100000",宠物,2016/10/1,2016/10/1
